Admin2,,,,,,,,,,,,,,,,,
Province/State,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysen,Biobio,Coquimbo,Los Lagos,Los Rios,Magallanes,Maule,Metropolitana,Nuble,OHiggins,Tarapaca,Unknown,Valparaiso
Country/Region,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
05-20-2020,1714,1636,417,163,8,1215,261,654,241,959,666,40831,990,448,1135,-22504,1735
05-21-2020,1761,1671,446,168,8,1254,266,680,252,969,716,44253,999,458,1242,-23992,1849
05-22-2020,1824,1692,464,175,8,1301,279,704,256,974,767,47927,1004,484,1388,-25342,1980
05-23-2020,1876,1729,475,182,8,1344,292,714,268,979,808,50944,1056,507,1466,-26546,2072
05-24-2020,1926,1763,491,182,8,1404,321,723,284,992,877,54050,1081,543,1557,-28148,2182
05-25-2020,1994,1812,506,185,10,1448,336,750,291,998,938,58401,1117,575,1623,-29302,2252
05-26-2020,2040,1838,515,188,12,1492,382,768,298,1013,998,61718,1125,641,1729,-30915,2398
05-27-2020,2112,1871,534,197,12,1555,453,778,303,1019,1051,65416,1152,677,1800,-33540,2518
05-28-2020,2220,1909,555,202,14,1667,480,801,312,1022,1105,69277,1183,691,1945,-36115,2670
05-29-2020,2290,1942,575,207,16,1767,535,809,324,1028,1165,72225,1220,731,2079,-38598,2781
05-30-2020,2400,2013,581,215,16,1877,595,847,339,1035,1241,75523,1233,740,2232,-40431,2974
05-31-2020,2479,2024,612,218,17,1968,626,850,350,1037,1282,79729,1234,767,2340,-42727,3101
06-01-2020,2553,2064,628,232,17,2059,666,850,356,1037,1324,84415,1267,795,2504,-44946,3278
06-02-2020,2649,2141,654,236,18,2082,687,894,368,1060,1381,88194,1290,843,2594,-22513,3595
06-03-2020,2716,2173,701,242,18,2215,718,913,372,1063,1595,92191,1329,931,2682,-22880,3769
06-04-2020,2824,2135,728,258,19,2288,768,913,371,1050,1711,94856,1348,946,2782,-21305,3939
06-05-2020,2882,2240,773,269,19,2366,827,955,382,1053,1810,97961,1405,994,2937,-99358,4178
06-06-2020,2986,2272,810,281,19,2477,893,972,392,1062,1945,102010,1446,1086,3064,-103817,4489
06-07-2020,3107,2327,840,306,20,2582,985,990,409,1063,2085,107189,1465,1158,3218,-108150,4769
06-08-2020,3200,2378,866,339,21,2640,1118,998,417,1073,2158,110186,1534,1233,3357,-112248,5064
06-09-2020,3357,2413,906,348,21,2683,1170,1016,438,1073,2271,113158,1566,1294,3456,-117361,5306
06-10-2020,3503,2415,920,365,21,2835,1250,1029,444,1074,2422,117631,1596,1416,3545,-121780,5515
06-11-2020,3696,2501,957,389,22,2962,1338,1050,454,1087,2541,121862,1653,1524,3650,-126444,5758
06-12-2020,3820,2544,1001,413,22,3089,1431,1071,470,1092,2672,127226,1698,1599,3775,-131358,6053
06-13-2020,3971,2609,1052,436,24,3253,1504,1095,478,1108,2824,132070,1715,1756,3952,-137296,6407
06-14-2020,4214,2639,1098,448,24,3383,1546,1128,488,1138,2974,137520,1756,1894,4087,-143704,6633
06-15-2020,4484,2692,1128,484,26,3441,1666,1155,520,1170,3068,141367,1810,1977,4200,-148792,6886
06-16-2020,4571,2739,1145,502,26,3496,1710,1165,524,1195,3166,145368,1830,2186,4307,-156232,7136
06-17-2020,5160,2779,1207,561,26,3990,1968,1235,545,1269,3362,177418,1905,2756,4720,-181931,8112
06-18-2020,5441,2827,1227,586,26,4155,2061,1249,557,1278,3567,180234,1950,2973,4801,-186441,8330
06-19-2020,5735,2859,1283,623,27,4370,2179,1284,569,1287,3780,184429,2078,3265,4924,-191491,8608
06-20-2020,6121,2881,1313,649,28,4626,2257,1320,579,1300,3926,187862,2108,3563,5064,-196609,8856
06-21-2020,6361,2930,1359,681,28,4877,2342,1368,600,1320,4177,191496,2131,3900,5178,-200569,9128
06-22-2020,6608,2970,1408,716,28,5123,2411,1420,611,1337,4322,194500,2153,4134,5275,-205397,9445
06-23-2020,6891,2988,1431,745,28,5293,2468,1449,615,1348,4471,196966,2167,4309,5362,-210570,9731
06-24-2020,7114,2997,1458,783,28,5424,2521,1465,619,1348,4621,199146,2190,4551,5420,-215093,10000
06-25-2020,7393,3024,1495,835,29,5660,2615,1486,631,1370,4796,202040,2203,4805,5492,-219327,10287
06-26-2020,7614,3065,1530,885,30,5913,2682,1521,642,1382,4974,204520,2243,5071,5627,-223431,10593
06-27-2020,7885,3088,1591,923,35,6093,2758,1553,649,1408,5141,207235,2286,5254,5683,-228055,10837
06-28-2020,8161,3131,1629,954,41,6348,2834,1588,668,1420,5274,209677,2331,5537,5802,-232210,11078
06-29-2020,1862,291,366,315,14,2022,675,310,94,135,1410,21431,382,2059,815,-138,2227
06-30-2020,1775,268,353,309,13,1887,684,297,97,143,1319,20168,344,2039,765,-98,2113
07-01-2020,1760,250,379,344,14,1819,655,290,90,139,1307,18784,304,1979,740,-108,2101
07-02-2020,1747,243,403,343,17,1697,639,298,84,124,1263,17640,278,1921,740,-109,2046
07-03-2020,1770,270,420,341,16,1677,632,322,85,121,1257,16946,292,1867,723,2065,-109
07-04-2020,1788,288,430,324,14,1598,651,339,77,109,1262,16490,300,1849,709,2085,-109
07-05-2020,1823,290,454,328,13,1563,671,385,69,100,1229,16429,312,1793,749,2086,-109
07-06-2020,1874,327,494,337,13,1570,734,388,71,110,1228,15803,338,1750,806,2061,-109
07-07-2020,1885,312,476,326,11,1477,717,373,66,93,1196,14728,331,1697,768,1987,-109
07-08-2020,1846,289,482,335,11,1365,694,413,55,74,1140,13604,365,1550,747,1908,-109
07-09-2020,1866,273,543,386,9,1320,708,424,64,77,1123,13379,411,1496,734,-71,1870
07-10-2020,1810,275,543,374,7,1321,749,437,58,82,1132,13070,425,1579,769,-70,1879
07-11-2020,1868,260,568,387,6,1293,747,462,60,91,1112,12631,467,1551,772,-106,1865
07-12-2020,1862,277,577,420,10,1327,749,440,53,90,1079,12650,488,1493,782,-67,1930
07-13-2020,1885,250,614,449,12,1331,750,439,49,95,1074,12515,484,1477,755,-73,1971
07-14-2020,1839,229,645,457,12,1278,705,470,49,103,1064,11851,470,1455,706,-66,1937
07-15-2020,1765,234,679,449,14,1231,727,472,52,102,1024,10970,456,1354,651,-71,1825
07-16-2020,1602,213,715,422,15,1280,707,510,69,103,992,10394,465,1380,632,0,1608
07-17-2020,1601,214,761,380,22,1290,655,537,85,98,1032,10537,424,1397,652,,1594
07-18-2020,1560,186,778,412,19,1321,810,508,84,89,996,10244,479,1301,631,0,1534
07-19-2020,1548,179,760,411,19,1347,864,548,87,88,1032,9878,468,1277,619,6,1502
07-20-2020,1548,179,760,411,19,1347,864,548,87,88,1032,9878,468,1277,619,6,1502
07-21-2020,1324,165,826,414,16,1311,842,522,83,81,1015,8908,414,1167,650,10,1442
07-22-2020,1324,165,826,414,16,1311,842,522,83,81,1015,8908,414,1167,650,10,1442
07-23-2020,1318,165,858,416,10,1302,833,560,84,70,1014,8271,354,1127,599,15,1494
07-24-2020,1303,201,913,440,10,1367,891,618,80,64,1016,8190,337,1096,637,35,1496
07-25-2020,1251,209,890,466,10,1441,924,650,80,62,1032,7862,307,1057,637,,1526
07-26-2020,1248,213,936,578,9,1507,984,719,79,60,1041,7731,280,1041,626,0,1531
07-27-2020,1231,238,930,548,11,1498,1005,797,76,65,1024,7805,310,1008,699,0,1537
07-28-2020,1193,246,934,551,10,1465,997,835,62,87,931,7364,294,916,901,1,1441
07-29-2020,1162,268,948,578,6,1454,999,822,54,89,941,7001,272,881,890,0,1375
07-30-2020,1104,264,931,653,6,1427,975,828,56,116,955,6783,263,865,936,12,1357
07-31-2020,1152,292,914,712,9,1455,1042,894,61,126,964,6902,253,854,901,0,1352
08-01-2020,1133,292,894,727,9,1477,1012,963,52,137,921,6716,249,813,859,0,1364
08-02-2020,1137,303,856,753,11,1503,1038,995,54,155,920,6747,257,783,826,0,1374
08-03-2020,1157,317,829,820,11,1515,1028,982,56,172,892,6789,256,782,829,0,1375
08-04-2020,1095,305,763,757,11,1449,982,1016,57,186,866,6371,229,691,788,0,1321
08-05-2020,1126,283,729,829,11,1408,939,1022,58,198,822,6221,223,686,792,0,1293
08-06-2020,1138,308,690,807,9,1419,966,1025,59,232,776,6213,216,708,733,5,1310
08-07-2020,1151,282,685,823,11,1473,961,995,54,227,807,6172,244,753,728,5,1328
08-08-2020,1183,278,675,852,10,1468,929,1001,54,259,827,6114,253,886,684,0,1406
08-09-2020,1203,278,743,809,16,1545,936,1037,56,254,830,6168,258,904,686,,1431
08-10-2020,1247,297,770,1004,17,1544,993,1045,66,291,839,6177,281,920,613,1,1458
08-11-2020,1178,267,737,1015,14,1528,928,970,74,308,810,5847,272,923,645,3,1378
08-12-2020,1124,268,760,1010,12,1471,906,943,69,310,805,5619,275,941,646,2,1383
08-13-2020,1111,273,766,977,12,1548,934,928,75,301,815,5581,278,953,648,2,1402
08-14-2020,1118,264,760,975,10,1604,930,902,76,326,830,5629,291,939,633,1,1446
08-15-2020,1055,277,781,997,10,1628,994,858,69,355,835,5433,277,902,620,0,1465
08-16-2020,1028,273,783,1001,12,1673,987,875,65,392,843,5443,273,864,604,0,1550
08-17-2020,1024,274,777,1008,12,1713,976,821,64,382,823,5459,278,831,644,1,1517
08-18-2020,944,289,731,1017,11,1642,956,770,62,395,782,5133,271,772,645,3,1446
08-19-2020,894,288,688,931,9,1573,946,723,61,408,762,4841,273,727,623,2,1425
08-20-2020,845,295,652,862,10,1639,926,751,55,447,793,4797,288,739,602,1,1413
08-21-2020,887,322,624,787,3,1714,921,739,55,499,798,4740,283,736,602,1,1438
08-22-2020,850,332,641,761,4,1721,949,729,50,529,787,4796,322,689,585,1,1440
08-23-2020,817,326,611,730,4,1861,1040,768,64,610,814,4904,341,682,597,0,1465
08-24-2020,863,310,629,759,5,1975,1094,765,65,696,830,5012,384,732,588,0,1481
08-25-2020,804,291,603,737,8,1913,1065,718,55,728,799,4843,370,708,548,0,1374
08-26-2020,786,276,573,658,11,1893,1085,680,50,733,783,4599,407,701,531,0,1341
08-27-2020,799,271,551,601,11,2034,1076,637,58,828,779,4472,440,712,492,3,1344
08-28-2020,766,279,560,589,14,2118,1082,651,62,842,782,4567,501,741,460,0,1374
08-29-2020,760,281,549,575,23,2259,1014,639,60,882,819,4583,546,760,466,,1430
08-30-2020,781,282,558,580,22,2338,983,686,63,925,867,4779,567,771,437,0,1507
08-31-2020,783,275,574,560,21,2396,1028,683,72,998,876,4900,599,790,445,1,1557
09-01-2020,761,262,558,551,19,2282,954,651,77,996,849,4759,589,788,424,1,1513
09-02-2020,734,267,503,524,18,2206,911,642,74,1039,832,4659,567,788,412,0,1536
09-03-2020,757,295,502,487,18,2248,859,614,93,1045,848,4613,567,832,397,0,1495
09-04-2020,741,327,510,416,18,2316,816,617,95,1036,917,4614,577,812,391,0,1524
09-05-2020,726,349,508,400,25,2324,791,641,103,1161,935,4621,581,833,386,,1533
09-06-2020,732,359,520,425,24,2388,798,723,116,1207,997,4840,608,845,377,,1561
09-07-2020,738,371,546,398,23,2366,806,734,124,1373,1104,4957,601,858,358,,1549
09-08-2020,716,353,531,378,19,2225,720,681,125,1311,1088,4739,563,865,349,,1467
09-09-2020,666,391,517,389,17,2130,707,650,148,1253,1099,4683,531,828,369,,1393
09-10-2020,667,413,489,379,17,2123,671,596,165,1199,1157,4579,507,823,351,,1397
09-11-2020,658,448,473,378,16,2140,671,637,180,1180,1235,4477,528,846,358,,1397
09-12-2020,641,470,446,377,17,2112,698,649,207,1290,1311,4458,556,896,343,,1382
09-13-2020,636,510,464,387,27,2141,721,650,244,1394,1383,4548,620,940,376,,1433
09-14-2020,655,530,461,404,40,2137,727,664,252,1406,1422,4616,641,916,368,,1457
09-15-2020,590,551,442,442,45,2017,708,660,255,1325,1350,4346,622,907,357,0,1382
09-16-2020,573,545,430,425,42,1930,649,617,253,1284,1342,4174,581,871,320,,1341
09-17-2020,542,531,416,412,47,1933,605,601,248,1336,1317,4072,581,844,320,0,1275
09-18-2020,507,514,388,403,50,1908,568,586,249,1301,1345,3906,574,806,317,,1226
09-19-2020,479,485,393,413,67,1874,549,689,231,1285,1327,3753,553,785,285,,1152
09-20-2020,469,469,387,400,75,1839,531,726,225,1307,1311,3807,580,784,264,,1069
09-21-2020,466,485,393,441,81,1760,505,716,248,1433,1311,3650,564,774,261,,972
09-22-2020,435,479,352,410,84,1665,421,685,228,1366,1218,3370,505,729,254,,826
09-23-2020,427,490,343,425,93,1609,355,621,227,1298,1205,3175,451,698,247,,730
09-24-2020,435,474,338,402,102,1649,331,630,239,1316,1226,3120,406,689,214,,719
09-25-2020,434,554,362,397,108,1726,325,764,241,1407,1257,3150,393,687,219,,738
09-26-2020,441,582,360,370,113,1800,314,817,262,1420,1248,3264,403,700,240,,796
09-27-2020,481,599,382,372,106,1813,343,893,303,1407,1265,3381,415,707,257,,833
09-28-2020,507,627,407,392,101,1814,361,982,332,1521,1264,3441,418,691,263,0,836
09-29-2020,484,556,403,384,174,1756,348,1032,354,1580,1185,3316,399,678,276,,857
09-30-2020,479,646,401,361,188,1707,353,988,380,1566,1140,3313,366,635,272,,867
10-01-2020,471,685,386,364,195,1732,347,1016,413,1526,1128,3353,367,637,283,,878
10-02-2020,490,739,436,349,199,1752,364,1084,440,1417,1163,3492,391,643,274,,884
10-03-2020,524,815,465,347,223,1767,375,1185,476,1516,1163,3505,392,672,322,,925
10-04-2020,516,858,502,329,234,1811,375,1236,511,1598,1191,3598,390,661,337,,984
10-05-2020,551,932,515,327,216,1763,374,1286,505,1564,1236,3588,387,684,354,,975
10-06-2020,513,937,515,336,206,1676,349,1316,497,1600,1155,3376,352,685,359,,947
10-07-2020,483,937,525,333,215,1559,331,1292,470,1545,1060,3263,336,643,350,,956
10-08-2020,503,1044,535,324,201,1524,302,1311,462,1498,1022,3141,341,653,338,,941
10-09-2020,495,1137,547,301,206,1514,282,1317,478,1477,1046,3201,333,646,327,,946
10-10-2020,501,1162,521,300,187,1555,265,1345,465,1538,994,3142,321,652,335,1,985
10-11-2020,514,1202,523,293,188,1647,258,1474,464,1488,1042,3229,331,690,360,,999
10-12-2020,545,1236,546,303,185,1687,260,1527,478,1454,1096,3298,313,511,360,37,1007
10-13-2020,509,1228,493,287,180,1685,249,1533,443,1288,1036,3147,315,691,364,,938
10-14-2020,482,1228,487,288,179,1658,229,1508,421,1207,973,3043,302,658,333,,889
10-15-2020,473,1228,486,270,177,1680,216,1470,396,1136,914,2991,284,640,302,,864
